CSV FILE VERSION : 3.0

!============================================================================= = 
!
!       Copyright  Siemens PLM Software Inc.
!                 All rights reserved
!
!==============================================================================
!
! This file contains the data which are exported from AFU records or XYPlot curves.
!
! The file can be edited with some rules. Please pay attention that any syntax
! violation will cause failure to read this data file.
!
! 1. The structure of this file CANNOT be CHANGED.
! 2. "!" is used as comment line syntax. Any words that are after "!" will be omitted.
! 3. Keyword is embraced with "%". Its value is allowed to be modified within a limitation.
!    The allowed values will be described at the above line for each Keyword.
!    Please pay attention that any invalid input will be omitted
!    and a default value will be set instead.
!The generic options for Function Type:
!General, Time, Cross Spectral Density (CSD), Frequency Response Function, Transmissibility, Power Spectral Density (PSD),
!Spectrum, Shock Response Spectrum, Temperature, Stress vs Strain, S-N Curve, Campbell Diagram, Timing chart,
!Stiffness and Damping, Fast RMS PSD Fit, Vehicle, Motion General

!The options for Frequency Band Summation:
!Octave, 1/3 Octave, 1/12 Octave

!The options for Axis Type:
!Linear, Log, dB, Octave, 1/3 Octave, 1/12 Octave

!The options for Abscissa Spacing:
!Even, Uneven

!The options for Complex Data Option:
!Real Only, Complex(Real/Imaginary), Complex(Magnitude/Phase).

!The options for Spectrum Scaling:
!Peak, RMS

!The options for Weighting:
!None, Weighting A, Weighting B, Weighting C, Weighting D, Weighting AB, Weighting BC

%Record Count%,3
%Record Name%,VELOCITY_PISTON->MAG_Velocity(abs),DISPLACEMENT_PISTON->MAG_Displacement(abs),ACCELERATION_PISTON->MAG_Acceleration(abs)
 , 
%Function Type%,General,General,General
 , 
%Abscissa Spacing%,Even
%Abscissa Axis Type%,Linear
%Abscissa Measure%,Time
%Abscissa Unit%,sec
%Abscissa Axis Label%,Time(sec)
 , 
%Complex Data Option%,Real Only
%Ordinate Axis Type%,Linear,Linear,Linear
%Ordinate Measure%,Velocity,Length,Acceleration
%Ordinate Unit%,mm/sec,mm,mm/sec^2
%Ordinate Axis Label%,Velocity(mm/sec),Length(mm),Acceleration(mm/sec^2)
 , 

#X,VELOCITY_PISTON->MAG_Velocity(abs),DISPLACEMENT_PISTON->MAG_Displacement(abs),ACCELERATION_PISTON->MAG_Acceleration(abs)
# ,Real,Real,Real
1.540000E-02,5.162812E+02,117.342457,1292429.565430
1.550000E-02,6.455727E+02,117.398202,1293428.833008
1.560000E-02,7.749747E+02,117.466368,1294642.822266
1.570000E-02,9.045088E+02,117.546961,1296066.162109
1.580000E-02,1.034196E+03,117.640004,1297693.603516
1.590000E-02,1.164055E+03,117.745504,1299518.188477
1.600000E-02,1.294106E+03,117.863491,1301532.836914
1.610000E-02,1.424369E+03,117.993981,1303728.637695
1.620000E-02,1.554859E+03,118.137002,1306096.801758
1.630000E-02,1.685596E+03,118.292592,1308626.342773
1.640000E-02,1.816594E+03,118.460767,1311306.396484
1.650000E-02,1.947866E+03,118.641555,1314124.511719
1.660000E-02,2.079427E+03,118.834995,1317067.749023
1.670000E-02,2.211287E+03,119.041108,1320122.070312
1.680000E-02,2.343458E+03,119.259931,1323272.094727
1.690000E-02,2.475947E+03,119.491510,1326501.586914
1.700000E-02,2.608762E+03,119.735874,1329793.090820
1.710000E-02,2.741909E+03,119.993068,1333128.051758
1.720000E-02,2.875391E+03,120.263129,1336487.182617
1.730000E-02,3.009209E+03,120.546088,1339849.853516
1.740000E-02,3.143363E+03,120.841987,1343194.335938
1.750000E-02,3.277850E+03,121.150874,1346497.924805
1.760000E-02,3.412664E+03,121.472783,1349736.694336
1.770000E-02,3.547797E+03,121.807754,1352885.498047
1.780000E-02,3.683240E+03,122.155823,1355918.334961
1.790000E-02,3.818979E+03,122.517027,1358807.983398
1.800000E-02,3.954999E+03,122.891396,1361525.878906
1.810000E-02,4.091281E+03,123.278983,1364042.724609
1.820000E-02,4.227804E+03,123.679802,1366327.880859
1.830000E-02,4.364542E+03,124.093898,1368349.609375
1.840000E-02,4.501468E+03,124.521293,1370075.317383
1.850000E-02,4.638550E+03,124.962009,1371471.191406
1.860000E-02,4.775754E+03,125.416070,1372502.685547
1.870000E-02,4.913041E+03,125.883505,1373133.300781
1.880000E-02,5.050370E+03,126.364321,1373327.026367
1.890000E-02,5.187695E+03,126.858532,1373046.508789
1.900000E-02,5.324966E+03,127.366140,1372253.662109
1.910000E-02,5.462131E+03,127.887160,1370909.790039
1.920000E-02,5.599133E+03,128.421560,1368975.097656
1.930000E-02,5.735910E+03,128.969371,1366410.522461
1.940000E-02,5.872398E+03,129.530549,1363175.048828
1.950000E-02,6.008527E+03,130.105078,1359227.416992
1.960000E-02,6.144224E+03,130.692944,1354526.367188
1.970000E-02,6.279412E+03,131.294087,1349030.517578
1.980000E-02,6.414009E+03,131.908491,1342698.486328
1.990000E-02,6.547928E+03,132.536083,1335489.013672
2.000000E-02,6.681082E+03,133.176804,1327360.961914
2.010000E-02,6.813377E+03,133.830607,1318273.803711
2.020000E-02,6.944711E+03,134.497374,1308187.011719
2.030000E-02,7.074985E+03,135.177061,1297061.279297
2.040000E-02,7.204093E+03,135.869533,1284857.910156
2.050000E-02,7.331926E+03,136.574686,1271539.062500
2.060000E-02,7.458370E+03,137.292415,1257068.115234
2.070000E-02,7.583308E+03,138.022587,1241409.912109
2.080000E-02,7.706619E+03,138.765037,1224530.517578
2.090000E-02,7.828180E+03,139.519632,1206397.705078
2.100000E-02,7.947863E+03,140.286177,1186981.201172
2.110000E-02,8.065540E+03,141.064525,1166252.441406
2.120000E-02,8.181077E+03,141.854450,1144185.424805
2.130000E-02,8.294339E+03,142.655775,1120755.859375
2.140000E-02,8.405190E+03,143.468246,1095942.382812
2.150000E-02,8.513490E+03,144.291654,1069725.952148
2.160000E-02,8.619097E+03,145.125732,1042090.332031
2.170000E-02,8.721866E+03,145.970151,1013022.033691
2.180000E-02,8.821655E+03,146.824688,982510.925293
2.190000E-02,8.918517E+03,147.687554,950541.748047
2.200000E-02,9.011984E+03,148.560882,917120.239258
2.210000E-02,9.101903E+03,149.444714,882249.511719
2.220000E-02,9.188297E+03,150.336966,845925.170898
2.230000E-02,9.271005E+03,151.237562,808153.564453
2.240000E-02,9.349867E+03,152.146235,768944.580078
2.250000E-02,9.424740E+03,153.062671,728311.279297
2.260000E-02,9.495479E+03,153.986469,686269.958496
2.270000E-02,9.561946E+03,154.917300,642840.209961
2.280000E-02,9.624002E+03,155.854747,598045.288086
2.290000E-02,9.681512E+03,156.798318,551912.231445
2.300000E-02,9.734344E+03,157.747537,504471.435547
2.310000E-02,9.782367E+03,158.701956,455756.500244
2.320000E-02,9.825456E+03,159.661084,405804.199219
2.330000E-02,9.863490E+03,160.624444,354654.632568
2.340000E-02,9.896351E+03,161.591530,302350.830078
2.350000E-02,9.923925E+03,162.561834,248938.888550
2.360000E-02,9.946105E+03,163.534805,194467.758179
2.370000E-02,9.962789E+03,164.509952,138989.028931
2.380000E-02,9.973875E+03,165.486678,82556.884766
2.390000E-02,9.979273E+03,166.464463,25227.905273
2.400000E-02,9.978895E+03,167.442724,32939.121246
2.410000E-02,9.972662E+03,168.420911,91883.308411
2.420000E-02,9.960497E+03,169.398397,151541.870117
2.430000E-02,9.942334E+03,170.374632,211850.326538
2.440000E-02,9.918111E+03,171.349004,272742.614746
2.450000E-02,9.887772E+03,172.320917,334151.336670
2.460000E-02,9.851268E+03,173.289761,396007.904053
2.470000E-02,9.808559E+03,174.254909,458242.736816
2.480000E-02,9.759614E+03,175.215632,520783.874512
2.490000E-02,9.704404E+03,176.171377,583561.340332
2.500000E-02,9.642908E+03,177.121565,646504.028320
2.510000E-02,9.575113E+03,178.065583,709540.222168
2.520000E-02,9.501014E+03,179.002792,772598.022461
2.530000E-02,9.420610E+03,179.932594,835605.651855
2.540000E-02,9.333912E+03,180.854335,898491.271973
2.550000E-02,9.240935E+03,181.767419,961183.593750
2.560000E-02,9.141702E+03,182.671189,1023611.694336
2.570000E-02,9.036242E+03,183.565050,1085705.200195
2.580000E-02,8.924594E+03,184.448391,1147394.653320
2.590000E-02,8.806800E+03,185.320571,1208611.206055
2.600000E-02,8.682911E+03,186.180994,1269287.109375
2.610000E-02,8.552984E+03,187.029049,1329355.590820
2.620000E-02,8.417085E+03,187.864155,1388751.098633
2.630000E-02,8.275283E+03,188.685715,1447409.301758
2.640000E-02,8.127654E+03,189.493120,1505267.211914
2.650000E-02,7.974277E+03,190.285921,1562264.160156
2.660000E-02,7.815242E+03,191.063508,1618339.599609
2.670000E-02,7.650647E+03,191.825271,1673434.326172
2.680000E-02,7.480593E+03,192.570657,1727490.966797
2.690000E-02,7.305189E+03,193.299085,1780453.979492
2.700000E-02,7.124545E+03,194.010064,1832269.409180
2.710000E-02,6.938778E+03,194.703072,1882885.253906
2.720000E-02,6.748013E+03,195.377588,1932250.854492
2.730000E-02,6.552375E+03,196.033120,1980317.504883
2.740000E-02,6.351997E+03,196.669206,2027038.085938
2.750000E-02,6.147017E+03,197.285354,2072367.431641
2.760000E-02,5.937575E+03,197.881132,2116261.962891
2.770000E-02,5.723817E+03,198.456094,2158680.175781
2.780000E-02,5.505893E+03,199.009821,2199582.031250
2.790000E-02,5.283956E+03,199.541911,2238929.199219
2.800000E-02,5.058163E+03,200.051948,2276685.791016
2.810000E-02,4.828675E+03,200.539559,2312816.650391
2.820000E-02,4.595657E+03,201.004401,2347289.306641
2.830000E-02,4.359276E+03,201.446116,2380072.509766
2.840000E-02,4.119702E+03,201.864392,2411137.207031
2.850000E-02,3.877109E+03,202.258885,2440455.810547
2.860000E-02,3.631673E+03,202.629328,2468002.197266
2.870000E-02,3.383570E+03,202.975437,2493753.417969
2.880000E-02,3.132985E+03,203.296959,2517684.082031
2.890000E-02,2.880106E+03,203.593612,2539779.052734
2.900000E-02,2.625123E+03,203.865185,2560010.742188
2.910000E-02,2.368187E+03,204.111516,2578373.535156
2.920000E-02,2.109538E+03,204.332426,2594840.820312
2.930000E-02,1.849327E+03,204.527736,2609405.029297
2.940000E-02,1.587755E+03,204.697296,2622052.490234
2.950000E-02,1.325014E+03,204.841003,2632772.460938
2.960000E-02,1.061298E+03,204.958737,2641555.908203
2.970000E-02,7.967912E+02,205.050424,2648395.751953
2.980000E-02,5.316916E+02,205.115989,2653286.132812
2.990000E-02,2.661986E+02,205.155358,2656223.144531
3.000000E-02,5.104603E-01,205.168530,2657203.857422
3.010000E-02,2.651775E+02,205.155462,2656227.783203
3.020000E-02,5.306701E+02,205.116197,2653295.654297
3.030000E-02,7.957721E+02,205.050737,2648409.912109
3.040000E-02,1.060289E+03,204.959139,2641574.707031
3.050000E-02,1.324024E+03,204.841465,2632795.410156
3.060000E-02,1.586783E+03,204.697818,2622079.833984
3.070000E-02,1.848376E+03,204.528302,2609436.279297
3.080000E-02,2.108608E+03,204.333037,2594875.976562
3.090000E-02,2.367289E+03,204.112172,2578410.888672
3.100000E-02,2.624229E+03,203.865871,2560055.175781
3.110000E-02,2.879239E+03,203.594327,2539823.730469
3.120000E-02,3.132133E+03,203.297719,2517734.863281
3.130000E-02,3.382727E+03,202.976286,2493806.152344
3.140000E-02,3.630836E+03,202.630267,2468060.302734
3.150000E-02,3.876281E+03,202.259913,2440516.357422
3.160000E-02,4.118884E+03,201.865509,2411203.857422
3.170000E-02,4.358453E+03,201.447397,2380141.113281
3.180000E-02,4.594837E+03,201.005861,2347365.234375
3.190000E-02,4.827841E+03,200.541213,2312895.507812
3.200000E-02,5.057343E+03,200.053781,2276769.775391
3.210000E-02,5.283123E+03,199.543953,2239019.042969
3.220000E-02,5.505057E+03,199.012086,2199677.001953
3.230000E-02,5.722981E+03,198.458567,2158780.517578
3.240000E-02,5.936739E+03,197.883829,2116367.675781
3.250000E-02,6.146182E+03,197.288275,2072478.271484
3.260000E-02,6.351172E+03,196.672276,2027153.564453
3.270000E-02,6.551563E+03,196.036294,1980437.011719
3.280000E-02,6.747218E+03,195.380837,1932374.023438
3.290000E-02,6.938000E+03,194.706395,1883011.962891
3.300000E-02,7.123785E+03,194.013476,1832399.658203
